Year;Produksjon i alt;Vannkraftproduksjon;Vindkraftproduksjon;Solkraftproduksjon;Varmekraftproduksjon;Import;Eksport;Bruttoforbruk;Forbruk i kraftstasjonene (-2019);Pumpekraftforbruk;Tap og statistisk differanse;Nettoforbruk
2008;142 108;139 981;913;..;1 214;3 414;17 291;128 231;637;1 338;9 948;116 308
2009;131 773;126 077;977;..;4 719;5 650;14 633;122 790;659;1 135;8 629;112 367
2010;123 630;117 152;879;..;5 599;14 673;7 123;131 180;560;574;9 490;120 556
2011;127 631;121 553;1 283;..;4 795;11 255;14 329;124 557;544;1 807;7 263;114 943
2012;147 716;142 810;1 548;..;3 358;4 190;22 006;129 900;560;1 536;9 098;118 706
2013;133 975;128 699;1 881;..;3 395;10 135;15 140;128 970;620;786;8 024;119 540
2014;141 968;136 181;2 217;..;3 570;6 347;21 932;126 383;692;997;7 637;117 057
2015;144 511;138 450;2 515;..;3 546;7 411;22 038;129 884;693;1 612;7 530;120 049
2016;148 989;143 417;2 116;..;3 456;5 741;22 151;132 579;563;872;7 697;123 447
2017;149 402;143 112;2 854;..;3 436;6 112;21 276;134 238;718;1 065;7 625;124 830
2018;147 057;139 704;3 877;..;3 476;8 340;18 489;136 908;765;1 031;7 564;127 548
2019;134 882;126 030;5 525;..;3 328;12 353;12 309;134 926;825;1 054;6 996;126 051
2020;154 197;141 590;9 911;25;2 670;4 496;24 968;133 724;..;952;6 967;125 806
2021;157 113;143 699;11 768;33;1 612;8 235;25 819;139 529;..;576;7 653;131 300
2022;145 942;128 749;14 810;63;2 319;13 270;25 792;133 420;..;1 609;7 277;124 534
2023;153 973;137 315;13 965;165;2 528;13 240;30 978;136 235;..;1 786;7 949;126 500
2024;157 136;139 984;14 545;251;2 357;14 685;33 124;138 698;..;1 558;7 806;129 334
